N_cluster	n_traits	study_ids	traits	EFOs	h2s	intercepts	alfa	expected_h2_gip1	expected_rgs	ChatGPT_name	intercept_min	intercept_max	GIP1_intecept	GIP1_h2
./101	10	NEALE2_6154_5;SAIGE_530_1;SAIGE_550_2;NEALE2_20002_1474;GCST90038619;NEALE2_20002_1138;NEALE2_20003_1140864752;GCST90038597;GCST90038624;GCST90038691	Omeprazole (e.g. zanprol) | medication for pain relief, constipation, heartburn;Esophagitis, gerd and related diseases;Diaphragmatic hernia;Hiatus hernia | non-cancer illness code, self-reported;Esophageal disorder;Gastro-oesophageal reflux (gord) / gastric reflux | non-cancer illness code, self-reported;Lansoprazole | treatment/medication code;Gastrointestinal or abdominal disease;Gastroesophageal reflux disease or gastric reflux;Hiatus hernia	CHEBI_7772;;EFO_0008561;HP_0002036;EFO_0009544;EFO_0003948;EFO_0007010;EFO_0010282	0.0184;0.0237;0.0263;0.0085;0.0204;0.0108;0.0117;0.0215;0.0105;0.0104	1.0231;1.0307;1.0259;1.0299;1.0106;1.0158;1.0103;1.0084;1.0078;1.0031	0.181033909035144;0.207241974032738;0.216500956416811;0.130669691526436;0.193224804522664;0.145272792302589;0.147733013840141;0.18598544216554;0.135679079742571;0.136206528072249	0.044449173	0.965304970572418;0.973681844692832;0.965596026209296;1.02512996380254;0.978501098875608;1.01108095808287;0.987866257983558;0.917430652624254;0.957705021520457;0.966039263164427	Gastroesophageal Reflux Disease (GERD)	1.0031	1.0307	1.061	0.0456
./102	6	GCST90038641;NEALE2_20002_1286;NEALE2_20550_1;NEALE2_20549_3;NEALE2_20425;GCST90038650	Psychological or psychiatric problem;Depression | non-cancer illness code, self-reported;Talking therapies, such as psychotherapy, counselling, group therapy or cbt | activities undertaken to treat anxiety;Medication prescribed to you (for at least two weeks) | substances taken for anxiety;Ever worried more than most people would in similar situation;Depression	MONDO_0002025;EFO_0003761;;EFO_0005230	0.0203;0.0179;0.0395;0.0394;0.0592;0.0162	0.9917;0.9999;0.9938;1.0063;1.0064;0.996	0.203287232294003;0.191995154488448;0.287018611235902;0.290875212823244;0.352838351338492;0.181554413018598	0.075130876	0.971319571016872;0.976930813620302;0.983131397769568;0.99760509468744;0.987222366155357;0.97106736232635	Depression and Anxiety	0.9917	1.0064	1.0432	0.0751
./104	5	GCST003770;GCST006940;GCST005232;GCST005327;NEALE2_20127_raw	Neuroticism;Neurociticism;Neuroticism;Neuroticism;Neuroticism score	EFO_0007660;	0.099;0.1046;0.1074;0.1071;0.113	1.072;1.0294;1.0243;1.1559;1.029	0.232027913275804;0.239462905950851;0.245770978408851;0.246468203597749;0.251544830084048	0.154995969	0.9821374202933;0.986102426846152;0.998798954592238;1.00303430272631;0.996611273443381	Neuroticism	1.0243	1.1559	1.1476	0.1995
./105	3	GCST006686;GCST003839;NEALE2_1160	Sleep duration (undersleepers);Sleep duration;Sleep duration	EFO_0005271	0.0483;0.0555;0.0704	1.0064;1.0198;1.0221	0.380164632045121;-0.416658341178765;-0.475243350932022	0.092414649	0.966676541671315;-0.988363328816859;-1.00095085379077	Sleep Duration	1.0064	1.0221	1.0733	0.0943
./106	2	NEALE2_6143_4;NEALE2_6162_4	Cycle | transport type for commuting to job workplace;Cycle | types of transport used (excluding work)	""	0.0316;0.0255	1.0141;1.0228	0.644398937432885;0.575434575513186	0.041506088	0.989487073021328;0.983614027355884	Cycling	1.0141	1.0228	1.0484	0.0416
./108	3	GCST90038686;NEALE2_20002_1465;GCST005811	Osteoarthritis;Osteoarthritis | non-cancer illness code, self-reported;Osteoarthritis (self-reported)	MONDO_0005178;EFO_0002506	0.0153;0.0195;0.0623	1.0094;1.0229;1.0114	0.291747026935667;0.329529775343878;0.590075808611474	0.052579824	0.998055320525581;0.998553290519128;1.00036313155507	Osteoarthritis	1.0094	1.0229	1.0451	0.0592
./11	3	NEALE2_6146_3;NEALE2_6146_2;NEALE2_6146_100	Blue badge | attendance/disability/mobility allowance;Disability living allowance | attendance/disability/mobility allowance;None of the above | attendance/disability/mobility allowance	""	0.023;0.0274;0.0329	1.0088;0.9976;1.007	0.336803992532393;0.369822772982707;-0.409972425327903	0.034258589	0.98271508989471;0.988627486948864;-1.00016351978939	Disability/Mobility Allowance	0.9976	1.0088	1.0437	0.0342
./110	6	GCST003498;NEALE2_4990;GCST004364;NEALE2_20016_raw;GCST006250;GCST006572	Verbal-numerical reasoning;Conditional arithmetic | fi6;Intelligence;Fluid intelligence score;Intelligence;Cognitive performance	EFO_0004350;;EFO_0004337;EFO_0008354	0.1985;0.091;0.1869;0.226;0.1805;0.1922	1.0258;1.002;1.0119;1.0389;1.0619;1.0254	0.246543348339235;0.154562029802075;-0.232636388527843;0.265473980773677;0.239952650069826;0.244325021545757	0.339729442	0.987737856531911;0.914557006147933;-0.960509492452219;0.996773325204769;1.00812784956141;0.994763676603484	Verbal-Numerical Intelligence	1.002	1.0619	1.0555	0.3418
./113	4	GCST90002394;NEALE2_30190_raw;GCST004608;GCST004609	Monocyte percentage of white cells;Monocyte percentage;Granulocyte percentage of myeloid white cells;Monocyte percentage of white cells	EFO_0007989;EFO_0007997	0.2085;0.0998;0.1669;0.1814	1.2622;1.1122;0.9993;1.0127	0.366578211443956;0.252713095788478;-0.318382608628285;0.341464437752261	0.267525172	0.997664543162054;0.994107606352786;-0.968483191816178;0.996317499270497	Monocyte and Granulocyte Percentages	0.9993	1.2622	1.1537	0.2655
./121	3	GCST90002412;GCST000760;GCST000759	Low density lipoprotein cholesterol levels;Cholesterol, total;LDL cholesterol	EFO_0004611;EFO_0004574	0.2203;0.1339;0.1195	1.2224;0.8873;0.9041	0.543502509437923;0.423976255264573;0.407304064994069	0.287078569	0.967842119934804;0.968414892579186;0.984793118535537	LDL Cholesterol	0.8873	1.2224	0.9241	0.2767
./122	6	SAIGE_720;SAIGE_721;SAIGE_722;SAIGE_760;FINNGEN_R6_M13_SPINSTENOSIS;FINNGEN_R6_M13_SPONDYLOPATHY	Spinal stenosis;Spondylosis and allied disorders;Intervertebral disc disorders;Back pain;Spinal stenosis;Spondylopathies	EFO_0007490;;HP_0003418;MONDO_0045002	0.0088;0.0098;0.0097;0.0117;0.0217;0.0228	1.0003;1.0091;1.0161;1.0106;1.0516;1.0966	0.237013022015499;0.250939163026957;0.259845432983787;0.270698839887449;0.378078612457566;0.399815012104591	0.046310116	0.966188980512054;0.969363394312696;1.0089285911447;0.957028061217402;0.981484514460872;1.01256493008097	Spinal Disorders	1.0003	1.0966	1.037	0.0471
./123	6	FINNGEN_R6_M13_ARTHTROSIS_COX_PRIM_ICD10;SAIGE_740_1;SAIGE_740;FINNGEN_R6_COX_ARTHROSIS;FINNGEN_R6_M13_ARTHTROSIS_COX;GCST007091	"""""Coxarthrosis, primary"""";Osteoarthritis; localized;Osteoarthrosis;Coxarthrosis [arthrosis of hip](FG);""""Coxarthrosis,"""";Osteoarthritis (hip)"	EFO_1000786;EFO_0002506	0.0167;0.0205;0.024;0.0212;0.0261;0.0319	1.069;1.0156;1.0246;1.0737;1.07;0.9867	0.213202201050371;0.232335055297109;0.243942285788308;0.24391104418593;0.269515001762673;0.282928625441008	0.050474817	0.998743497964284;0.98233208283829;0.953239400139482;1.01410763299481;1.00991124252525;0.958963472016886	Coxarthrosis (Hip Osteoarthritis)	0.9867	1.0737	1.0272	0.0504
./127	2	NEALE2_1190;GCST011494	Nap during day;Daytime nap	EFO_0009818;EFO_0007828	0.0818;0.0813	1.0317;1.0507	0.519423875491397;0.517832689914902	0.087704852	0.999801205092404;0.99979875113666	Daytime Napping	1.0317	1.0507	1.0539	0.0873
./13	3	NEALE2_20547_1;NEALE2_2100;NEALE2_20499	Talking therapies, such as psychotherapy, counselling, group therapy or cbt | activities undertaken to treat depression;Seen a psychiatrist for nerves, anxiety, tension or depression;Ever sought or received professional help for mental distress	;EFO_0007781	0.0498;0.031;0.0643	1.0021;1.0035;1.0102	0.456476092198201;0.346126809013484;0.524470455585333	0.084983444	0.988502823682307;0.950011671363263;0.999516784165613	Psychotherapy for Depression and Anxiety	1.0021	1.0102	1.0417	0.0846
./130	2	NEALE2_6154_2;NEALE2_20003_1140871310	Ibuprofen (e.g. nurofen) | medication for pain relief, constipation, heartburn;Ibuprofen | treatment/medication code	CHEBI_5855	0.0207;0.0156	1.0011;1.0029	0.555250926982949;0.48186541891548	0.019597956	0.999575296644733;0.999251608559492	Ibuprofen Treatment	1.0011	1.0029	1.0176	0.0196
./133	4	GCST90007526;GCST90007530;GCST90007527;GCST90007529	Low hand grip strength (60 years and older) (EWGSOP);Low hand grip strength (60 years and older) (FNIH);Low hand grip strength (60 years and older) (EWGSOP);Low hand grip strength (60 years and older) (FNIH)	EFO_0006941	0.0431;0.0282;0.0604;0.0208	0.991;1.0199;0.9909;1.0374	0.323669424777262;0.262642871073323;0.386379420979842;0.227325733093973	0.056713028	0.99085494124244;0.994003930367348;0.999177294728637;1.00176065726998	Low Hand Grip Strength in Older Adults	0.9909	1.0374	1.0745	0.057
./134	10	FINNGEN_R6_E4_OBESITY_HYPER;SAIGE_278;NEALE2_23104_raw;NEALE2_20536_1;NEALE2_21001_raw;SAIGE_278_1;GCST002783;FINNGEN_R6_E4_NUTRIDEF;FINNGEN_R6_E4_OBESITY;GCST90025994	Obesity and other hyperalimentation;Overweight, obesity and other hyperalimentation;Body mass index (bmi);Gained weight | weight change during worst episode of depression;Body mass index (bmi);Obesity;Body mass index;Other nutritional deficiencies;Obesity;Body mass index	EFO_0001073;EFO_0004340;;EFO_1001067	0.0272;0.0242;0.2278;0.0566;0.2276;0.0238;0.1327;0.0229;0.0269;0.2847	1.0777;1.0075;1.1201;1.0003;1.1223;1.0078;0.7096;1.0743;1.0735;1.1828	0.0943951043842993;0.0823358762056143;0.268399245865913;0.112971821009784;0.268391567875799;0.0820086858961623;0.198244835498504;0.0868121040711921;0.0939707491188366;0.300267828967459	0.331516223	1.01374600971581;0.93744450406655;0.996021171901173;0.841058205842693;0.996430189653466;0.941532927863942;0.963896846806577;1.01607713845149;1.01480053547739;0.996733853420284	Obesity and Nutritional Deficiencies	0.7096	1.1828	0.9492	0.3541
./137	5	GCST004600;GCST90002382;NEALE2_30210_raw;GCST004623;GCST004617	Eosinophil percentage of white cells;Eosinophil percentage of white cells;Eosinophill percentage;Neutrophil percentage of granulocytes;Eosinophil percentage of granulocytes	EFO_0007991;EFO_0007994;EFO_0007996	0.1627;0.1867;0.1331;0.1487;0.1593	0.997;1.2457;1.1385;0.9897;0.9932	0.250661890243945;0.26814038251831;0.224359680851643;-0.236982708001598;0.247679697456425	0.235022907	0.995676128936565;0.99429127139579;0.985324648544927;-0.984656460790356;0.994273997695976	Eosinophil and Neutrophil Percentages	0.9897	1.2457	1.1112	0.2327
