MVA	input_study	expected_rgs	expected_h2	input_h2	rg	MVA_h2_obs	MVA_h2_int	Total.Observed.scale.h2	Intercept
100	NEALE2_5108_raw	1	0.110106342	0.0799	NA	0.0799	1.0116	-0.0002	0.9477
100	NEALE2_5111_raw	1	0.110106342	0.0654	NA	0.0654	1.0102	-0.0002	0.9477
101	GCST90038597	0.917430653	0.044449173	0.0215	0.9166	0.0211	1.0118	0.0456	1.061
101	GCST90038619	0.978501099	0.044449173	0.0204	0.982	0.0203	1.0124	0.0456	1.061
101	GCST90038624	0.957705022	0.044449173	0.0105	0.9629	0.0012	0.0071	0.0456	1.061
101	GCST90038691	0.966039263	0.044449173	0.0104	0.9701	0.001	0.0063	0.0456	1.061
101	NEALE2_20002_1138	1.011080958	0.044449173	0.0108	1.0362	0.0015	0.007	0.0456	1.061
101	NEALE2_20002_1474	1.025129964	0.044449173	0.0085	1.0918	0.0013	0.0064	0.0456	1.061
101	NEALE2_20003_1140864752	0.987866258	0.044449173	0.0117	0.9971	0.0015	0.007	0.0456	1.061
101	NEALE2_6154_5	0.965304971	0.044449173	0.0184	0.9678	0.0185	1.0228	0.0456	1.061
101	SAIGE_530_1	0.973681845	0.044449173	0.0237	0.9719	0.0237	1.0309	0.0456	1.061
101	SAIGE_550_2	0.965596026	0.044449173	0.0263	0.9613	0.0266	1.0238	0.0456	1.061
102	GCST90038641	0.971319571	0.075130876	0.0203	0.975	0.0014	0.0072	0.0751	1.0432
102	GCST90038650	0.971067362	0.075130876	0.0162	0.9783	0.0012	0.0072	0.0751	1.0432
102	NEALE2_20002_1286	0.976930814	0.075130876	0.0179	0.9885	0.0016	0.007	0.0751	1.0432
102	NEALE2_20425	0.987222366	0.075130876	0.0592	0.9862	0.0592	1.0066	0.0751	1.0432
102	NEALE2_20549_3	0.997605095	0.075130876	0.0394	0.9997	0.0393	1.0062	0.0751	1.0432
102	NEALE2_20550_1	0.983131398	0.075130876	0.0395	0.9847	0.0395	0.994	0.0751	1.0432
103	GCST004074	1	0.336889416	0.1354	NA	0.1317	1.0167	-0.0147	0.998
103	NEALE2_5255_raw	1	0.336889416	0.1814	NA	0.1804	1.0387	-0.0147	0.998
103	NEALE2_5263_raw	1	0.336889416	0.1877	NA	0.1877	1.0315	-0.0147	0.998
104	GCST003770	0.98213742	0.154995969	0.099	1.0137	0.1089	1.1988	0.1995	1.1476
104	GCST005232	0.998798955	0.154995969	0.1074	0.9768	0.1282	1.058	0.1995	1.1476
