Trait	Total Observed scale h2	h2_se	Lambda GC	Mean Chi^2	Intercept	int_se	Ratio	Z_h2
NEALE2_23111_raw.results	0.2139	0.0057	2.1285	2.6474	1.1328	0.0162	 0.0806 (0.0099)	37.52631579
NEALE2_23115_raw.results	0.2148	0.0058	2.1372	2.6537	1.1353	0.0158	 0.0818 (0.0096)	37.03448276
GCST90000514.results	0.0729	0.002	1.453	1.6889	0.8174	0.0102		36.45
GCST004940.results	6.413	0.1786	5.9269	3.0671	2.1127	0.0177	 0.5383 (0.0085)	35.90705487
GCST005062.results	5.7392	0.1601	5.7549	2.954	2.0648	0.0147	 0.5449 (0.0075)	35.84759525
NEALE2_23099_raw.results	0.2131	0.006	2.1069	2.632	1.1276	0.0161	 0.0782 (0.0099)	35.51666667
NEALE2_6138_1.results	0.1609	0.0046	1.9054	2.255	1.1094	0.0124	 0.0871 (0.0099)	34.97826087
NEALE2_23127_raw.results	0.2003	0.0059	2.0429	2.5342	1.1224	0.0159	 0.0798 (0.0104)	33.94915254
NEALE2_23128_raw.results	0.218	0.0065	2.0983	2.6625	1.1316	0.0162	 0.0791 (0.0098)	33.53846154
NEALE2_23123_raw.results	0.2076	0.0062	2.0726	2.5829	1.1127	0.0149	 0.0712 (0.0094)	33.48387097
NEALE2_23119_raw.results	0.2028	0.0061	2.0513	2.5504	1.1163	0.0149	 0.075 (0.0096)	33.24590164
GCST90000047.results	0.1461	0.0044	1.9218	2.2499	1.0785	0.0129	 0.0628 (0.0103)	33.20454545
NEALE2_23100_raw.results	0.2164	0.0066	2.0855	2.6407	1.1231	0.0154	 0.075 (0.0094)	32.78787879
GCST005070.results	4.0789	0.1253	4.673	2.5281	1.8667	0.0129	 0.5672 (0.0084)	32.55307263
NEALE2_23116_raw.results	0.2026	0.0063	2.0175	2.5291	1.1059	0.0142	 0.0692 (0.0093)	32.15873016
NEALE2_23112_raw.results	0.2023	0.0063	2.0175	2.526	1.1062	0.0145	 0.0696 (0.0095)	32.11111111
NEALE2_23104_raw.results	0.2278	0.0072	2.1458	2.7478	1.1201	0.0157	 0.0687 (0.009)	31.63888889
NEALE2_21001_raw.results	0.2276	0.0072	2.1676	2.7704	1.1223	0.0158	 0.0691 (0.0089)	31.61111111
NEALE2_23098_raw.results	0.2399	0.0076	2.1676	2.8543	1.153	0.0178	 0.0825 (0.0096)	31.56578947
GCST005066.results	6.6389	0.2111	6.1381	3.1798	2.1717	0.02	 0.5375 (0.0092)	31.44907627
GCST007429.results	0.1908	0.0061	1.8284	2.2848	1.0492	0.0125	 0.0383 (0.0097)	31.27868852
NEALE2_23109_raw.results	0.2058	0.0066	2.0091	2.6446	1.1421	0.018	 0.0864 (0.0109)	31.18181818
NEALE2_48_raw.results	0.1932	0.0062	2.0007	2.4655	1.101	0.015	 0.0689 (0.0102)	31.16129032
NEALE2_21002_raw.results	0.2396	0.0077	2.1895	2.8817	1.1563	0.0181	 0.083 (0.0096)	31.11688312
GCST006572.results	0.1922	0.0062	1.714	2.0233	1.0254	0.0117	 0.0248 (0.0114)	31
NEALE2_23106_raw.results	0.2346	0.0077	2.1415	2.9104	1.1691	0.0192	 0.0885 (0.0101)	30.46753247
NEALE2_23124_raw.results	0.1915	0.0063	1.9631	2.4371	1.0906	0.0135	 0.0631 (0.0094)	30.3968254
NEALE2_23120_raw.results	0.194	0.0064	1.9756	2.4596	1.0953	0.0136	 0.0653 (0.0093)	30.3125
NEALE2_23110_raw.results	0.2086	0.0069	2.0471	2.681	1.1589	0.0185	 0.0945 (0.011)	30.23188406
NEALE2_23108_raw.results	0.2201	0.0073	2.0726	2.7771	1.1523	0.0187	 0.0857 (0.0105)	30.15068493
GCST005064.results	4.3048	0.1429	4.7503	2.552	1.8859	0.0134	 0.5708 (0.0086)	30.12456263
NEALE2_23125_raw.results	0.2362	0.0079	2.1199	2.9061	1.1931	0.0199	 0.1013 (0.0105)	29.89873418
GCST006940.results	0.1046	0.0035	1.6032	1.8228	1.0294	0.0107	 0.0358 (0.013)	29.88571429
NEALE2_2178.results	0.0952	0.0032	1.5733	1.7229	1.0468	0.0099	 0.0648 (0.0137)	29.75
NEALE2_23107_raw.results	0.2171	0.0073	2.0513	2.7669	1.1639	0.0196	 0.0928 (0.0111)	29.73972603
NEALE2_23126_raw.results	0.2365	0.008	2.1155	2.9094	1.1945	0.02	 0.1019 (0.0105)	29.5625
NEALE2_23121_raw.results	0.2391	0.0081	2.1069	2.9271	1.1939	0.0203	 0.1006 (0.0105)	29.51851852
NEALE2_23122_raw.results	0.2387	0.0081	2.1069	2.9248	1.1944	0.0204	 0.101 (0.0106)	29.4691358
NEALE2_46_raw.results	0.1149	0.0039	1.6486	1.8871	1.0628	0.0115	 0.0708 (0.013)	29.46153846
NEALE2_47_raw.results	0.1148	0.0039	1.641	1.8897	1.0712	0.0116	 0.08 (0.013)	29.43589744
NEALE2_49_raw.results	0.1972	0.0067	2.0175	2.5318	1.1273	0.0152	 0.0831 (0.0099)	29.43283582
NEALE2_23105_raw.results	0.2559	0.0087	2.1895	3.0641	1.209	0.0207	 0.1012 (0.01)	29.4137931
NEALE2_6138_100.results	0.1026	0.0035	1.5957	1.7778	1.0611	0.011	 0.0786 (0.0141)	29.31428571
NEALE2_23117_raw.results	0.2399	0.0082	2.1415	2.9136	1.1828	0.0194	 0.0955 (0.0102)	29.25609756
NEALE2_23118_raw.results	0.2399	0.0082	2.1372	2.9137	1.1823	0.0194	 0.0953 (0.0101)	29.25609756
NEALE2_6138_2.results	0.0905	0.0031	1.5327	1.6926	1.0507	0.0107	 0.0732 (0.0155)	29.19354839
GCST007432.results	0.1943	0.0067	1.7965	2.3143	1.05	0.0124	 0.0381 (0.0094)	29
GCST005069.results	3.2644	0.1126	4.0302	2.2935	1.7569	0.0113	 0.5852 (0.0087)	28.99111901
NEALE2_23114_raw.results	0.2401	0.0083	2.1372	2.9372	1.1948	0.0199	 0.1006 (0.0103)	28.92771084
NEALE2_23113_raw.results	0.2399	0.0083	2.1372	2.9366	1.1956	0.02	 0.101 (0.0103)	28.90361446
NEALE2_3063_raw.results	0.1759	0.0061	1.8164	2.2966	1.1236	0.0138	 0.0954 (0.0106)	28.83606557
NEALE2_1180.results	0.1153	0.004	1.5845	1.7812	1.0474	0.01	 0.0607 (0.0128)	28.825
GCST006250.results	0.1805	0.0063	1.7374	2.0502	1.0619	0.0118	 0.059 (0.0113)	28.65079365
