"","grps"
"NEALE2_6145_2",1
"NEALE2_5098_raw",2
"NEALE2_30160",3
"NEALE2_30280_raw",4
"NEALE2_30020_raw",5
"NEALE2_20487",6
"NEALE2_2966_raw",7
"NEALE2_5265_raw",8
"NEALE2_20488",9
"NEALE2_1050",10
"NEALE2_6146_3",11
"NEALE2_6147_2",12
"GCST003045",13
"NEALE2_20547_1",14
"NEALE2_943",15
"NEALE2_4260",16
"GCST90000294",17
"GCST005904",18
"GCST006867",19
"FINNGEN_R6_I9_HEARTFAIL_AND_OVERWEIGHT",20
"NEALE2_6138_3",21
"NEALE2_6177_2",22
"GCST90013474",23
"GCST002223",24
"NEALE2_22501_raw",25
"FINNGEN_R6_K11_HERING",26
"GCST90000045",27
"NEALE2_23116_raw",28
"NEALE2_826",29
"FINNGEN_R6_J10_RESPIRATORY",30
"NEALE2_1518",31
"GCST90025987",32
"NEALE2_4290_raw",33
"GCST003367",34
"GCST009979",35
"GCST90016613",36
"NEALE2_23119_raw",37
"GCST90038615",38
"FINNGEN_R6_SLEEP",39
"GCST90002398",40
"NEALE2_2814",41
"NEALE2_4123_raw",42
"NEALE2_23120_raw",28
"NEALE2_3148_raw",42
"NEALE2_2664_3",43
"SAIGE_250_2",19
"NEALE2_6157_3",44
"FINNGEN_R6_I9_CVD",20
"GCST90002392",45
"SAIGE_716_2",46
"NEALE2_6162_3",47
"GCST90016595",48
"NEALE2_4119_raw",49
"FINNGEN_R6_J10_COPDNAS",50
"SAIGE_496_21",50
"GCST90038679",51
"NEALE2_6164_5",52
"NEALE2_20002_1113",53
"NEALE2_2887",54
"NEALE2_30530_raw",55
"SAIGE_296",56
"NEALE2_20517",57
"NEALE2_23122_raw",58
"FINNGEN_R6_E4_OBESITYNAS",28
"SAIGE_318",59
"NEALE2_777",60
"GCST90016618",61
"GCST005902",62
"NEALE2_1210",63
"GCST007557",64
"NEALE2_1309",65
"FINNGEN_R6_G6_NEURO",30
"GCST90016597",66
"SAIGE_296_2",56
"GCST90002387",4
"FINNGEN_R6_KRA_PSY_MOOD",67
"GCST003129",68
"NEALE2_2473",69
"NEALE2_20002_1309",70
"GCST90038600",71
"GCST90025946",72
"NEALE2_400_raw",73
"NEALE2_20116_2",59
"GCST90038617",53
"GCST006804",74
"NEALE2_6138_6",25
"FINNGEN_R6_F5_SUBSTANCE",75
"GCST005185",76
"NEALE2_4803_0",77
"NEALE2_1319",78
"FINNGEN_R6_KRA_PSY_ANXIETY_EXMORE",67
"NEALE2_709",79
"NEALE2_1428_1",80
"FINNGEN_R6_F5_ALCOHOL",75
"NEALE2_6150_2",81
"NEALE2_894",82
"NEALE2_20003_2038460150",83
"FINNGEN_R6_KRA_PSY_ANXIETY",67
"NEALE2_2247_1",84
"NEALE2_4125_raw",42
"GCST005062",85
"GCST90038690",86
"NEALE2_1488_raw",87
"NEALE2_4105_raw",42
"NEALE2_3606",88
"NEALE2_20530",89
"FINNGEN_R6_J10_UPPERDIS",90
"GCST009980",91
"SAIGE_735",92
"NEALE2_4957",93
"FINNGEN_R6_FG_CVD",20
"NEALE2_6139_3",94
"NEALE2_20111_9",19
"GCST004621",74
"FINNGEN_R6_AUD_SWEDISH",75
"NEALE2_23118_raw",58
"SAIGE_411_1",81
"FINNGEN_R6_M13_HALLUXVALGUS",92
"GCST005064",95
"NEALE2_6154_1",96
"NEALE2_22126",97
"NEALE2_2237",98
"FINNGEN_R6_I9_AF",99
"GCST90038648",100
"GCST006100",101
"NEALE2_5111_raw",102
"NEALE2_6154_5",103
"GCST90038641",104
"NEALE2_5255_raw",105
"GCST003770",106
"FINNGEN_R6_F5_ALCOHOL_DEPENDENCE",75
"GCST006686",107
"NEALE2_6143_4",108
"GCST005814",46
"NEALE2_2463",109
"GCST90038686",110
"NEALE2_1807_raw",111
"FINNGEN_R6_G6_NERPLEX",30
"GCST003498",112
"NEALE2_30260_raw",113
"NEALE2_4836",114
"FINNGEN_R6_OFFICIAL_TILASTOKESKUS",75
"GCST90002394",115
"GCST004614",40
"NEALE2_1359",116
"NEALE2_20490",117
"GCST90016669",118
"GCST90038680",119
"GCST90012102",120
"NEALE2_20515",121
"NEALE2_30010_raw",122
"NEALE2_23113_raw",58
"GCST90002412",123
"SAIGE_720",124
"FINNGEN_R6_I9_MI_STRICT",81
"GCST90038610",81
"FINNGEN_R6_M13_ARTHTROSIS_COX_PRIM_ICD10",125
"FINNGEN_R6_G6_SLEEPAPNO_INCLAVO",39
"GCST004627",126
"NEALE2_2306",127
"NEALE2_20002_1220",19
"NEALE2_2844",128
"NEALE2_1190",129
"GCST90016599",130
"SAIGE_599",131
"NEALE2_6154_2",132
"NEALE2_23115_raw",37
"NEALE2_6162_4",108
"GCST90025981",133
"FINNGEN_R6_F5_ALLANXIOUS",67
"GCST004606",32
"GCST90000027",134
"GCST90007526",135
"SAIGE_272_1",86
"FINNGEN_R6_E4_OBESITY_HYPER",136
"NEALE2_20003_1140884600",19
"NEALE2_20522",137
