"","grps"
"NEALE2_6145_2",1
"NEALE2_5098_raw",2
"NEALE2_30160",3
"NEALE2_30280_raw",4
"NEALE2_30020_raw",5
"NEALE2_20487",6
"NEALE2_2966_raw",7
"NEALE2_5265_raw",8
"NEALE2_20488",9
"NEALE2_1050",10
"NEALE2_6146_3",11
"NEALE2_6147_2",12
"NEALE2_20547_1",13
"NEALE2_943",14
"NEALE2_4260",15
"GCST90000294",16
"GCST006867",17
"FINNGEN_R6_I9_HEARTFAIL_AND_OVERWEIGHT",18
"NEALE2_6138_3",19
"NEALE2_6177_2",20
"GCST90013474",21
"GCST002223",22
"NEALE2_22501_raw",23
"FINNGEN_R6_K11_HERING",24
"GCST90000045",25
"NEALE2_23116_raw",26
"NEALE2_826",27
"FINNGEN_R6_J10_RESPIRATORY",28
"NEALE2_1518",29
"GCST90025987",30
"NEALE2_4290_raw",31
"GCST003367",32
"GCST009979",33
"GCST90016613",34
"NEALE2_23119_raw",35
"GCST90038615",36
"FINNGEN_R6_SLEEP",37
"GCST90002398",38
"NEALE2_2814",39
"NEALE2_4123_raw",40
"NEALE2_23120_raw",26
"NEALE2_3148_raw",40
"NEALE2_2664_3",41
"SAIGE_250_2",17
"NEALE2_6157_3",42
"FINNGEN_R6_I9_CVD",18
"GCST90002392",43
"SAIGE_716_2",44
"NEALE2_6162_3",45
"GCST90016595",46
"NEALE2_4119_raw",47
"FINNGEN_R6_J10_COPDNAS",48
"SAIGE_496_21",48
"GCST90038679",49
"NEALE2_6164_5",50
"NEALE2_20002_1113",51
"NEALE2_2887",52
"NEALE2_30530_raw",53
"SAIGE_296",54
"NEALE2_20517",55
"NEALE2_23122_raw",56
"FINNGEN_R6_E4_OBESITYNAS",26
"SAIGE_318",57
"NEALE2_777",58
"GCST90016618",59
"GCST005902",60
"NEALE2_1210",61
"GCST007557",62
"NEALE2_1309",63
"FINNGEN_R6_G6_NEURO",28
"GCST90016597",64
"SAIGE_296_2",54
"GCST90002387",4
"FINNGEN_R6_KRA_PSY_MOOD",65
"GCST003129",66
"NEALE2_2473",67
"NEALE2_20002_1309",68
"GCST90038600",69
"GCST90025946",70
"NEALE2_400_raw",71
"NEALE2_20116_2",57
"GCST90038617",51
"GCST006804",72
"NEALE2_6138_6",23
"FINNGEN_R6_F5_SUBSTANCE",73
"GCST005185",74
"NEALE2_4803_0",75
"NEALE2_1319",76
"FINNGEN_R6_KRA_PSY_ANXIETY_EXMORE",65
"NEALE2_709",77
"NEALE2_1428_1",78
"FINNGEN_R6_F5_ALCOHOL",73
"NEALE2_6150_2",79
"NEALE2_894",80
"NEALE2_20003_2038460150",81
"FINNGEN_R6_KRA_PSY_ANXIETY",65
"NEALE2_2247_1",82
"NEALE2_4125_raw",40
"GCST005062",83
"GCST90038690",84
"NEALE2_1488_raw",85
"NEALE2_4105_raw",40
"NEALE2_3606",86
"NEALE2_20530",87
"FINNGEN_R6_J10_UPPERDIS",88
"GCST009980",89
"SAIGE_735",90
"NEALE2_4957",91
"FINNGEN_R6_FG_CVD",18
"NEALE2_6139_3",92
"NEALE2_20111_9",17
"GCST004621",72
"FINNGEN_R6_AUD_SWEDISH",73
"NEALE2_23118_raw",56
"SAIGE_411_1",79
"FINNGEN_R6_M13_HALLUXVALGUS",90
"GCST005064",93
"NEALE2_6154_1",94
"NEALE2_22126",95
"NEALE2_2237",96
"FINNGEN_R6_I9_AF",97
"GCST90038648",98
"GCST006100",99
"NEALE2_5111_raw",100
"NEALE2_6154_5",101
"GCST90038641",102
"NEALE2_5255_raw",103
"GCST003770",104
"FINNGEN_R6_F5_ALCOHOL_DEPENDENCE",73
"GCST006686",105
"NEALE2_6143_4",106
"GCST005814",44
"NEALE2_2463",107
"GCST90038686",108
"NEALE2_1807_raw",109
"FINNGEN_R6_G6_NERPLEX",28
"GCST003498",110
"NEALE2_30260_raw",111
"NEALE2_4836",112
"FINNGEN_R6_OFFICIAL_TILASTOKESKUS",73
"GCST90002394",113
"GCST004614",38
"NEALE2_1359",114
"NEALE2_20490",115
"GCST90016669",116
"GCST90038680",117
"GCST90012102",118
"NEALE2_20515",119
"NEALE2_30010_raw",120
"NEALE2_23113_raw",56
"GCST90002412",121
"SAIGE_720",122
"FINNGEN_R6_I9_MI_STRICT",79
"GCST90038610",79
"FINNGEN_R6_M13_ARTHTROSIS_COX_PRIM_ICD10",123
"FINNGEN_R6_G6_SLEEPAPNO_INCLAVO",37
"GCST004627",124
"NEALE2_2306",125
"NEALE2_20002_1220",17
"NEALE2_2844",126
"NEALE2_1190",127
"GCST90016599",128
"SAIGE_599",129
"NEALE2_6154_2",130
"NEALE2_23115_raw",35
"NEALE2_6162_4",106
"GCST90025981",131
"FINNGEN_R6_F5_ALLANXIOUS",65
"GCST004606",30
"GCST90000027",132
"GCST90007526",133
"SAIGE_272_1",84
"FINNGEN_R6_E4_OBESITY_HYPER",134
"NEALE2_20003_1140884600",17
"NEALE2_20522",135
"FINNGEN_R6_J10_COPD",48
"GCST90014241",136
